#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
352,2023072005003564,NIFRA,1,3,50,224.90,"11,245.00"
353,2023072005003563,NIFRA,52,3,253,224.90,"56,899.70"
354,2023072005003562,NRN,44,52,10,511.00,"5,110.00"
355,2023072005003561,NRIC,41,46,38,739.00,"28,082.00"
356,2023072005003560,NRIC,1,46,10,739.00,"7,390.00"
357,2023072005003559,CIT,44,49,77,"2,119.00","163,163.00"
358,2023072005003558,CIT,44,49,100,"2,119.00","211,900.00"
359,2023072005003557,CIT,38,49,23,"2,119.10","48,739.30"
360,2023072005003556,NICSF,36,58,100,8.77,877.00
361,2023072005003555,NICSF,36,22,"1,500",8.77,"13,155.00"
362,2023072005003554,NICSF,36,48,100,8.70,870.00
363,2023072005003553,CHDC,14,7,12,970.00,"11,640.00"
364,2023072005003552,CHDC,14,3,58,970.00,"56,260.00"
365,2023072005003551,CHDC,34,3,42,970.00,"40,740.00"
366,2023072005003550,CHDC,34,39,60,970.00,"58,200.00"
367,2023072005003549,HIDCL,26,34,100,184.50,"18,450.00"
368,2023072005003548,HIDCL,47,34,100,184.50,"18,450.00"
369,2023072005003547,NIFRA,52,58,140,224.90,"31,486.00"
370,2023072005003546,NIFRA,52,46,54,224.90,"12,144.60"
371,2023072005003545,HIDCL,59,38,170,184.40,"31,348.00"
372,2023072005003544,KEF,16,49,300,9.13,"2,739.00"
373,2023072005003543,NIFRA,52,41,10,224.90,"2,249.00"
374,2023072005003542,CIT,59,45,10,"2,120.00","21,200.00"
375,2023072005003541,NIFRA,52,39,43,224.90,"9,670.70"
376,2023072005003540,NRIC,17,45,149,739.00,"110,111.00"
377,2023072005003539,CIT,11,45,20,"2,120.00","42,400.00"
378,2023072005003538,CIT,32,45,55,"2,120.00","116,600.00"
379,2023072005003537,CIT,32,38,45,"2,120.00","95,400.00"
380,2023072005003536,NIFRA,42,57,111,225.00,"24,975.00"
381,2023072005003535,NTC,32,58,200,912.00,"182,400.00"
382,2023072005003534,HIDCL,34,38,30,184.40,"5,532.00"
383,2023072005003533,NRIC,58,38,20,740.00,"14,800.00"
384,2023072005003532,KEF,16,39,"1,500",9.13,"13,695.00"
385,2023072005003531,SLCF,52,25,100,7.86,786.00
386,2023072005003530,CHDC,34,49,10,970.00,"9,700.00"
387,2023072005003529,NRIC,17,39,101,739.00,"74,639.00"
388,2023072005003528,NRN,44,55,395,511.00,"201,845.00"
389,2023072005003527,CIT,35,38,10,"2,120.00","21,200.00"
390,2023072005003526,PSF,5,14,"27,300",9.10,"248,430.00"
391,2023072005003525,CIT,5,38,25,"2,120.00","53,000.00"
392,2023072005003524,NICBF,11,47,"5,000",9.40,"47,000.00"
393,2023072005003523,CHDC,34,34,100,970.00,"97,000.00"
394,2023072005003522,NIFRA,32,57,10,225.00,"2,250.00"
395,2023072005003521,NIFRA,1,57,20,225.00,"4,500.00"
396,2023072005003520,NIFRA,33,57,519,225.00,"116,775.00"
397,2023072005003519,NRN,41,56,70,512.90,"35,903.00"
398,2023072005003518,NRIC,38,38,100,740.00,"74,000.00"
399,2023072005003517,NRIC,50,38,200,740.00,"148,000.00"
400,2023072005003516,NRIC,7,38,16,740.00,"11,840.00"
401,2023072005003515,NRIC,19,38,10,740.00,"7,400.00"
402,2023072005003514,NRIC,7,38,20,740.00,"14,800.00"
403,2023072005003513,NRIC,38,38,22,740.00,"16,280.00"
404,2023072005003512,NRIC,38,38,42,740.00,"31,080.00"
405,2023072005003511,CHDC,34,46,17,970.00,"16,490.00"
406,2023072005003510,NRIC,35,56,12,740.00,"8,880.00"
407,2023072005003509,NRIC,45,56,100,740.00,"74,000.00"
408,2023072005003508,NRIC,50,56,10,740.00,"7,400.00"
409,2023072005003507,NRIC,59,56,435,740.00,"321,900.00"
410,2023072005003506,NIFRA,33,45,64,225.00,"14,400.00"
411,2023072005003505,NIFRA,33,39,275,225.00,"61,875.00"
412,2023072005003504,NTC,57,33,50,912.90,"45,645.00"
413,2023072005003503,NTC,57,41,10,912.80,"9,128.00"
414,2023072005003502,NIFRA,40,59,20,225.10,"4,502.00"
415,2023072005003501,NRIC,44,48,50,741.00,"37,050.00"
416,2023072005003500,NIFRA,33,35,142,225.00,"31,950.00"
417,2023072005003499,NIFRA,37,35,350,225.00,"78,750.00"
418,2023072005003498,NIFRA,46,35,22,225.00,"4,950.00"
419,2023072005003497,NIFRA,42,35,200,225.00,"45,000.00"
420,2023072005003496,NIFRA,43,35,786,225.00,"176,850.00"
421,2023072005003495,NRN,33,55,105,513.00,"53,865.00"
422,2023072005003494,HIDCL,50,43,10,184.20,"1,842.00"
423,2023072005003493,NRIC,59,10,65,740.00,"48,100.00"
424,2023072005003492,NRIC,21,10,20,740.00,"14,800.00"
425,2023072005003491,NRIC,29,10,360,740.00,"266,400.00"
426,2023072005003490,NRIC,26,10,50,740.10,"37,005.00"
427,2023072005003489,NRIC,58,10,37,740.10,"27,383.70"
428,2023072005003488,NTC,53,42,300,910.60,"273,180.00"
429,2023072005003487,NTC,35,42,200,910.60,"182,120.00"
430,2023072005003486,CIT,4,14,45,"2,119.00","95,355.00"
431,2023072005003485,CIT,22,14,10,"2,119.00","21,190.00"
432,2023072005003484,NIFRA,43,52,214,225.00,"48,150.00"
